"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
5663,1736240,2011,1,NA,NA,1,1,NA,NA,NA,NA
5667,1736330,2011,1,NA,NA,1,1,NA,NA,NA,NA
5671,1736510,2011,1,NA,NA,1,1,NA,NA,NA,NA
5687,1737050,2011,1,NA,NA,1,1,NA,NA,NA,NA
5691,1737080,2011,4,1,0.25,NA,NA,1,0.25,1,0.25
5692,1737080,2013,3,NA,NA,NA,NA,2,0.666666666666667,1,0.333333333333333
5693,1737080,2015,3,NA,NA,NA,NA,1,0.333333333333333,1,0.333333333333333
5694,1737080,2017,3,NA,NA,NA,NA,1,0.333333333333333,1,0.333333333333333
5695,1737120,2011,1,NA,NA,1,1,NA,NA,NA,NA
5703,1737440,2011,1,NA,NA,1,1,NA,NA,NA,NA
5707,1737470,2011,1,NA,NA,1,1,NA,NA,NA,NA
5719,1737830,2011,1,NA,NA,1,1,NA,NA,NA,NA
5727,1738070,2011,1,NA,NA,1,1,NA,NA,NA,NA
5740,1738550,2011,1,NA,NA,1,1,NA,NA,NA,NA
5748,1738910,2011,1,NA,NA,1,1,NA,NA,NA,NA
5752,1739180,2011,1,NA,NA,1,1,NA,NA,NA,NA
5756,1739660,2011,1,NA,NA,1,1,NA,NA,NA,NA
5764,1739930,2011,1,NA,NA,1,1,NA,NA,NA,NA
5772,1740220,2011,1,NA,NA,1,1,NA,NA,NA,NA
5783,1740530,2011,1,NA,NA,1,1,NA,NA,NA,NA
5802,1741360,2011,1,NA,NA,1,1,NA,NA,NA,NA
5813,1742570,2011,1,NA,NA,1,1,NA,NA,NA,NA
5817,1742660,2011,1,NA,NA,1,1,NA,NA,NA,NA
5821,1742720,2011,1,NA,NA,1,1,NA,NA,NA,NA
5827,1743330,2011,1,1,1,NA,NA,NA,NA,NA,NA
5835,1800006,2011,1,NA,NA,1,1,NA,NA,NA,NA
5836,1800011,2011,1,NA,NA,NA,NA,NA,NA,1,1
5837,1800011,2013,1,NA,NA,NA,NA,NA,NA,1,1
5838,1800011,2015,1,NA,NA,NA,NA,NA,NA,1,1
5839,1800011,2017,1,NA,NA,NA,NA,NA,NA,1,1
5840,1800012,2011,1,NA,NA,NA,NA,NA,NA,1,1
5841,1800013,2011,1,NA,NA,NA,NA,NA,NA,1,1
5842,1800013,2013,1,NA,NA,NA,NA,NA,NA,1,1
5843,1800014,2011,1,NA,NA,NA,NA,NA,NA,1,1
5844,1800014,2013,1,NA,NA,NA,NA,NA,NA,1,1
5845,1800014,2015,1,NA,NA,NA,NA,NA,NA,1,1
5846,1800014,2017,1,NA,NA,NA,NA,NA,NA,1,1
5847,1800015,2011,1,NA,NA,NA,NA,NA,NA,1,1
5848,1800015,2013,1,NA,NA,NA,NA,NA,NA,1,1
5849,1800015,2015,1,NA,NA,NA,NA,NA,NA,1,1
5850,1800018,2011,1,NA,NA,NA,NA,NA,NA,1,1
5851,1800018,2013,1,NA,NA,NA,NA,NA,NA,1,1
5852,1800018,2015,1,NA,NA,NA,NA,NA,NA,1,1
5853,1800018,2017,1,NA,NA,NA,NA,NA,NA,1,1
5858,1800024,2011,1,NA,NA,1,1,NA,NA,NA,NA
5862,1800025,2011,1,NA,NA,1,1,NA,NA,1,1
5863,1800025,2013,1,NA,NA,NA,NA,NA,NA,1,1
5864,1800025,2015,1,NA,NA,NA,NA,NA,NA,1,1
5865,1800025,2017,1,NA,NA,NA,NA,NA,NA,1,1
5866,1800027,2011,1,NA,NA,NA,NA,NA,NA,1,1
5867,1800027,2013,1,NA,NA,NA,NA,NA,NA,1,1
5868,1800027,2015,1,NA,NA,NA,NA,NA,NA,1,1
5869,1800027,2017,1,NA,NA,NA,NA,NA,NA,1,1
5870,1800033,2015,1,NA,NA,NA,NA,NA,NA,1,1
5871,1800033,2017,1,NA,NA,NA,NA,NA,NA,1,1
5872,1800038,2011,1,NA,NA,1,1,NA,NA,NA,NA
5876,1800042,2011,1,NA,NA,NA,NA,NA,NA,1,1
5877,1800042,2013,1,NA,NA,NA,NA,NA,NA,1,1
5878,1800042,2015,1,NA,NA,NA,NA,NA,NA,1,1
5879,1800042,2017,1,NA,NA,NA,NA,NA,NA,1,1
5880,1800043,2011,1,NA,NA,1,1,NA,NA,1,1
5881,1800043,2013,1,NA,NA,NA,NA,NA,NA,1,1
5882,1800043,2015,1,NA,NA,NA,NA,NA,NA,1,1
5883,1800043,2017,1,NA,NA,NA,NA,NA,NA,1,1
5884,1800046,2011,1,NA,NA,NA,NA,NA,NA,1,1
5885,1800046,2013,1,NA,NA,NA,NA,NA,NA,1,1
5886,1800046,2015,1,NA,NA,NA,NA,NA,NA,1,1
5887,1800046,2017,1,NA,NA,NA,NA,NA,NA,1,1
5888,1800048,2011,1,NA,NA,1,1,NA,NA,1,1
5889,1800048,2013,1,NA,NA,NA,NA,NA,NA,1,1
5890,1800048,2015,1,NA,NA,NA,NA,NA,NA,1,1
5891,1800048,2017,1,NA,NA,NA,NA,NA,NA,1,1
5892,1800049,2011,1,NA,NA,1,1,NA,NA,1,1
5893,1800051,2011,1,NA,NA,NA,NA,NA,NA,1,1
5894,1800051,2013,1,NA,NA,NA,NA,NA,NA,1,1
5895,1800051,2015,1,NA,NA,NA,NA,NA,NA,1,1
