"X","leaid","year","total_schools.x","count_alt_school_schools","percent_alt","count_tracking_schools","percent_tracking","count_magnet_schools","percent_magnet","count_charter_schools","percent_charter"
6542,2200128,2011,1,NA,NA,NA,NA,NA,NA,1,1
6543,2200129,2011,1,NA,NA,NA,NA,NA,NA,1,1
6544,2200130,2011,1,NA,NA,1,1,NA,NA,1,1
6545,2200140,2011,1,NA,NA,1,1,NA,NA,1,1
6546,2200146,2011,1,NA,NA,NA,NA,NA,NA,1,1
6547,2200146,2013,1,NA,NA,NA,NA,NA,NA,1,1
6548,2200146,2015,1,NA,NA,NA,NA,NA,NA,1,1
6549,2200146,2017,1,NA,NA,NA,NA,NA,NA,1,1
6550,2200148,2013,1,NA,NA,NA,NA,NA,NA,1,1
6551,2200148,2015,1,NA,NA,NA,NA,NA,NA,1,1
