"","vars","n","mean","sd","min","max","range","se"
"achiev_se_all_bayes_white",241,55087,0.023128990978044,0.0127600071401681,0.0117654009542777,0.1143208398945,0.102555438940222,5.43658717880005e-05
"lr_se_all_bayes_white",242,50496,0.012778918909447,0.0036761895968977,0.0079112153766996,0.0233739906306371,0.0154627752539375,1.63594769108791e-05
"min_grade",243,56920,NA,NA,Inf,-Inf,-Inf,NA
"max_grade",244,56544,11.5268463497453,1.37229392633471,3,12,9,0.00577103724658859
"percent_urban",245,56890,0.0816504057901664,0.243853222066923,0,1,1,0.00102237573042449
"percent_suburb",246,56890,0.220020271853537,0.373691425946187,0,1,1,0.00156673363311251
"percent_town",247,56890,0.172917194959445,0.324128179257059,0,1,1,0.00135893543341475
"percent_rural",248,56890,0.525412127869904,0.436622179565758,0,1,1,0.00183057626210314
"percent_city_large",249,56890,0.0245246355594399,0.141277644696404,0,1,1,0.000592318747994638
"percent_city_midsize",250,56890,0.0210518718413691,0.125900847442168,0,1,1,0.000527850195185954
"percent_city_small",251,56890,0.0360738983505503,0.161534633719623,0,1,1,0.00067724792700352
"percent_suburb_large",252,56890,0.175725576657274,0.349876297003939,0,1,1,0.00146688664466139
"percent_suburb_midsize",253,56890,0.0254902883757577,0.131154083515679,0,1,1,0.000549874841906733
"percent_suburb_small",254,56890,0.0188044068773795,0.112885793804884,0,1,1,0.000473283456817083
"percent_town_fringe",255,56890,0.0359810187296342,0.144925589615752,0,1,1,0.000607613072670173
"percent_town_distant",256,56890,0.0796913040052595,0.224358676825421,0,1,1,0.000940643162933119
"percent_town_remote",257,56890,0.0572448723121062,0.203404640403591,0,1,1,0.000852791552400652
"percent_rural_fringe",258,56890,0.1424808417375,0.251514737890886,0,1,1,0.00105449729835084
"percent_rural_distant",259,56890,0.218529755208773,0.378284444021317,0,1,1,0.00158599025875646
"percent_rural_remote",260,56890,0.164401531485296,0.355919307498829,0,1,1,0.00149222248897097
"avg_grade_enrollment",261,56881,454.919299934396,1648.10422805855,1.1041666,73294.547,73293.4428334,6.91036619322482
"percent_native_american",262,56881,0.0296457295189581,0.111423211039771,0,0.99854076,0.99854076,0.00046718840811228
"percent_asian",263,56881,0.0233854954319714,0.0531071205311864,0,0.74448907,0.74448907,0.000222673811577158
"percent_hispanic",264,56881,0.157214091293079,0.215048438225573,0,0.99848157,0.99848157,0.00090168050789504
"percent_black",265,56881,0.0802496279154073,0.164423857774507,0,0.99716502,0.99716502,0.000689415783771772
"percent_white",266,56881,0.709505055776277,0.283853622622479,0,1,1,0.0011901750169681
"percent_fl",267,56881,0.413842280721123,0.203752714110979,0.0075813546,0.975335,0.9677536454,0.000854318460810534
"percent_rl",268,56881,0.0869242633266785,0.0403507946592267,0.0042399261,0.7856918,0.7814518739,0.000169187580819052
"percent_frl",269,56881,0.50059531254512,0.216641977458108,0.01524931,1,0.98475069,0.000908362087526118
"percent_ecd",270,56550,0.510698214103257,0.220059004678091,0.0022561732,1,0.9977438268,0.000925385818549554
"percent_ell",271,56832,0.0496898391940574,0.0838074989419165,0,0.81420916,0.81420916,0.000351549439920064
"percent_sped",272,56832,0.136503537265358,0.0563051005906656,0,0.98988837,0.98988837,0.000236184432505375
"total_enrollment",273,56890,2725.98956521497,9888.2961673531,0,439767.3,439767.3,41.4575371654383
"diffexpecd_blkwht",274,54023,0.0200916269281437,0.0553693194995534,-0.3125,0.56682318,0.87932318,0.000238220886855664
"diffexpecd_hspwht",275,55765,0.021048797831479,0.0546330471191906,-0.26666665,0.65628254,0.92294919,0.000231352698982738
"hswhtblk",276,54328,0.046661744378278,0.0843653688787127,0,0.90317631,0.90317631,0.000361953142065748
"hswhthsp",277,56071,0.0359852251638752,0.0683301249653054,0,0.78138334,0.78138334,0.000288564607798552
"hsflnfl",278,56881,0.0249496046829099,0.0505418903484736,0,0.50433791,0.50433791,0.000211918011288155
"hsecdnec",279,56385,0.0337941209256358,0.0668556722450159,0,0.91742563,0.91742563,0.000281550606806644
"rswhtblk",280,54328,0.0335571533048085,0.0827454619624956,0,0.88679087,0.88679087,0.000355003247743331
