leaid,student_teacher_ratio
0100005,17.729535008586975
0100006,15.501226328612804
0100007,13.961668605973065
0100008,18.02819639882121
0100011,19.73669467787115
0100012,16.61371219303896
0100013,16.925231292088863
0100030,16.075311776188695
0100060,16.142346228908124
0100090,16.866510538641688
0100100,15.15216548928433
0100120,17.200095510983765
0100180,16.04951312731673
0100185,17.8610653487095
0100188,22.31161522905126
0100189,17.51903962824319
0100190,17.37279684535037
0100194,17.738296672306824
0100195,23.192299082158048
0100197,35
0100210,16.45186813186813
0100240,17.724976202679944
0100270,16.870386540874698
0100300,15.522012578616351
0100330,16.824477982220383
0100360,16.596690421548494
0100390,17.268299498835272
0100420,15.971002957448635
0100450,14.809965679420364
0100480,16.529822675980654
0100510,16.400100908173563
0100540,16.587970060420236
0100600,15.523864188264383
0100630,14.93424826794934
0100660,16.226975663744746
0100690,16.35177865612648
0100720,15.758562599527899
0100750,17.056650764402487
0100780,15.847242814099191
0100810,15.647525776331396
0100840,14.725841909070635
0100870,16.843530591775327
0100900,15.736238085975492
0100930,14.388980380759952
0100960,15.519242187078317
0100990,16.062440770769715
0101020,15.548168078094564
0101050,16.89855577997446
0101080,15.304542210371807
0101110,15.886753995674978
0101140,15.163264725140206
0101170,13.420970600240077
0101200,15.773316308511506
0101230,18.19889937106918
0101260,15.099276264427235
0101290,18.485208392607838
0101320,18.86091399375532
0101350,15.775226165622826
0101380,15.845582098206833
0101410,18.104055667161617
0101440,17.46165314503663
0101470,15.793505996013478
0101530,15.19557855683594
0101560,16.158027406354705
0101590,14.068730696547647
0101620,14.910011451323557
0101640,14.066604809229428
0101660,16.437675187465562
0101680,15.29148364016889
0101690,15.139625226740158
0101710,15.95733776735075
0101720,14.9299594107962
0101730,15.044564299918456
0101740,17.25974025974026
0101760,12.665708142617826
0101770,16.94372466945718
0101800,15.191026310866858
0101830,14.845777632865993
0101860,16.164273521437895
0101890,14.4983746455344
0101920,16.239154263232642
0101950,16.071065989847718
0101980,15.48407665875518
0102010,16.847458154681775
0102040,15.744772164653488
0102070,16.061189242536393
0102100,16.745311667803513
0102130,13.589757211921587
0102160,15.553349062189712
0102190,17.003996205042693
0102220,16.74993130985931
0102250,12.440585895819186
0102310,16.147008704462763
0102350,17.50147492625369
0102370,16.871703146703382
0102400,15.310526315789474
0102430,17.09641230969375
0102480,14.668354573882155
0102490,13.155272667786981
0102520,15.660514093090159
0102550,16.576037906137184
0102580,13.872985256122854
0102610,15.767320383368702
0102635,14.928589507177207
0102640,15.9724643948165
0102650,16.533484080676747
0102670,15.821603728467073
0102700,17.459704586680488
0102730,15.547335112552505
0102760,16.2436060942664
0102790,14.950294177317915
0102820,15.180807237674681
0102850,16.491002570694086
0102880,17.370434782608697
0102910,14.452462409797889
0102940,14.84553970378099
0102970,17.31809286603807
0103000,13.085418869698037
0103030,15.62657614589416
0103062,17.086502408723835
0103090,17.17006661115737
0103120,15.527000757800403
0103150,15.418101666896268
0103180,15.496398270525427
0103210,15.65579119952034
0103240,16.918514334133597
0103270,17.726775956284154
0103300,15.663976926210108
0103330,15.63221338804822
0103360,15.018072210170844
0103390,17.059029083436837
0103420,15.773760330578513
0103430,15.256064073226545
0103450,16.469266898100877
0103480,13.432517236227028
0103510,16.716299559471366
0103540,15.659832620692177
0103580,15.079429735234216
0200001,14.783073133536433
0200003,13.720920668430503
0200004,10.88234582536956
0200005,12.179949171186891
0200006,18.66877971473851
0200007,8.112795477903392
0200010,6.949225473321859
0200020,10.512849670229702
0200030,11.613468120671815
0200050,12.92142074389222
0200060,14.387440659615224
0200070,15.473932860897628
0200090,19.93568076658025
0200100,17.133789622605438
0200120,11.858834904520185
0200130,66.90824311868572
0200150,15.103471074380165
0200180,16.941696932904897
0200210,15.95351464772819
0200240,13.057184535406243
0200270,12.999368743800161
0200300,10.64394980305945
0200330,8.442915079267543
0200360,9.225914237980323
0200390,15.458124922667002
0200450,9.123472397808682
0200480,15.17856603591252
0200485,8.167789996452642
0200510,19.079506517920397
0200520,14.154781388823942
0200525,11.749086011160284
0200540,49.772695317992216
0200570,13.1623670492085
0200600,17.470678301015926
0200610,12.39080979852444
0200625,14.670216334658512
0200630,11.036789297658862
0200660,13.411387513239632
0200670,10.50698886519782
0200680,13.87674516993372
0200690,9.672673777123942
0200700,8.695652173913043
0200710,11.148525664361122
0200715,8.99822695035461
0200720,13.013676484852404
0200730,9.453695588664914
0200760,12.022967357167781
0200770,29.859516675098263
0200775,9.306780396125488
0200780,13.163944343617665
0200800,23.988139362490735
0200810,14.025421890590431
0200840,9.98
0200862,30.2984390263352
0400001,20.892065974161362
0400003,19.94865147813949
0400004,20.01801801801802
0400005,16.282798833819243
0400021,19.323691517135636
0400022,17.649717514124294
0400023,15.1278928136419
0400082,22.053493505826786
0400163,14.250640478223739
0400212,17.05425219941349
0400295,21.013909888116117
0400315,12.782498644006509
0400345,12.883435582822086
0400347,17.333333333333332
0400348,3.0402711323763953
0400349,17.22222222222222
0400450,21.734926971792113
0400480,22.282722513089006
0400520,17.300342776092354
0400600,22.54322386354283
0400612,18.666666666666668
0400615,9.456228306980332
0400630,13.156862745098039
0400680,16.927477427002675
0400720,15.468967436682437
0400772,9.08695652173913
0400790,17.80711415850953
0400794,17
0400840,17.457114026236123
0400870,8.781302170283807
0400910,15.953427881340188
0400920,24
0400960,21.470065773680926
0401000,15.140475022770266
0401050,17.289810527953936
0401080,22.473320778405526
0401160,10.167310167310168
0401180,14.334695504834048
0401230,11
0401260,8.716981132075471
0401290,7.8604651162790695
0401330,7.709510357815442
0401380,20.288550959253264
0401410,20.711636941550417
0401460,18.928962110915904
0401500,17.51090407216004
0401600,17.442714542017363
0401650,22.473903966597078
0401680,19.513207786980747
0401710,20.371160112273426
0401740,24.036621490549713
0401760,18.486069349606744
0401810,11.336898395721924
0401870,19.405897020759173
0401940,16.477568344667063
0402130,11.032922844935914
0402190,17.048552272894717
0402220,13.99056603773585
0402250,22.229622581668252
0402320,19.68399159100058
0402370,19.11992535474103
0402400,21.386900761454733
0402430,17.787427317842006
0402480,4.3
0402490,16.68421052631579
0402530,22.307171089779786
0402600,14.197604552146752
0402690,20.610753752267854
0402740,11.047872340425531
0402760,9.82258064516129
0402790,19.230916762562334
0402860,16.73632343651295
0402920,19.713791723822588
0403010,17.86786441190687
0403040,17.647968304585206
0403060,19.027066324612054
0403080,14.017626956052519
0403150,15.84301867775363
0403200,12.35998705082551
0403240,26.705367850791944
0403290,16.471615720524017
0403310,16.421125514482437
0403400,18.60681509496259
0403420,19.48553806579851
0403450,21.365561790311173
0403500,20.638209204024527
0403550,12.576437887534745
0403660,14.169014084507042
0403730,14.13571756075195
0403780,20.712110211124834
0403820,14.495130702203998
0403860,15.352597179222567
0403870,19.11586928559685
0403900,12.01803833145434
0403950,13.540544274071005
0403960,19.770761315434367
0403990,22.57921179529905
0404010,15.412299091544375
0404060,15.305347478155205
0404170,16.67241379310345
0404230,17.5639796740957
0404280,21.500933034662516
0404290,23.05929777822654
0404320,18.71467812559493
0404380,22.2147597977244
0404410,15.386440677966101
0404440,18.003398641886584
0404500,19.56335414206175
0404530,10.755489393375512
0404570,14.897934407464575
0404630,17.792001008938566
0404720,21.1601463321412
0404770,24.848897359106996
0404820,15.616789690979607
0404860,14.876712328767123
0404920,16.19047619047619
0404970,19.424807744784673
0405030,18.191960826850963
0405070,20.804313240233338
0405100,5.3
0405190,20.245283018867923
0405220,16.752136752136753
0405320,18.605106133228993
0405340,19.082254786608193
0405360,13.088455772113942
0405400,21.124335215425347
0405430,24.160175267770207
0405460,23.88951181645679
0405500,6.30787037037037
0405640,23.60203045685279
0405670,18.612845998687696
0405730,13.573033707865168
0405760,12.755775577557756
